Year,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueTypeID,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,TopicID,QuestionID,ResponseID,LocationID,StratificationCategoryID1,StratificationID1
2011,OH,Ohio,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,6275,6275, , ,,,Gender,Female, , , , ,"(40.06021014100048, -82.40426005599966)",DIA,DIA1_1, ,39,GENDER,GENF
2014,AR,Arkansas,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,26,26, , ,,,Race/Ethnicity,Hispanic, , , , ,"(34.74865012400045, -92.27449074299966)",DIA,DIA1_1, ,5,RACE,HIS
2010,US,United States,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,213465,213465, ,,,,Overall,Overall, , , , ,,DIA,DIA1_1, ,59,OVERALL,OVR
2014,AR,Arkansas,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,1983,1983, , ,,,Race/Ethnicity,"White, non-Hispanic", , , , ,"(34.74865012400045, -92.27449074299966)",DIA,DIA1_1, ,5,RACE,WHT
2014,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,65.8,65.8, , ,62.6,69.1,Gender,Female, , , , ,"(32.84057112200048, -86.63186076199969)",DIA,DIA1_1, ,1,GENDER,GENF
2010,AR,Arkansas,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,82.8,82.8, , ,79,86.6,Race/Ethnicity,"White, non-Hispanic", , , , ,"(34.74865012400045, -92.27449074299966)",DIA,DIA1_1, ,5,RACE,WHT
2014,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,71.4,71.4, , ,69,73.8,Overall,Overall, , , , ,"(32.84057112200048, -86.63186076199969)",DIA,DIA1_1, ,1,OVERALL,OVR
2010,AR,Arkansas,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,106.3,106.3, , ,96.8,115.7,Race/Ethnicity,"Black, non-Hispanic", , , , ,"(34.74865012400045, -92.27449074299966)",DIA,DIA1_1, ,5,RACE,BLK
2014,KS,Kansas,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,1030,1030, , ,,,Gender,Male, , , , ,"(38.34774030000045, -98.20078122699965)",DIA,DIA1_1, ,20,GENDER,GENM
2014,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,77.4,77.4, , ,73.8,81,Gender,Male, , , , ,"(32.84057112200048, -86.63186076199969)",DIA,DIA1_1, ,1,GENDER,GENM
2011,AR,Arkansas,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,493,493, , ,,,Race/Ethnicity,"Black, non-Hispanic", , , , ,"(34.74865012400045, -92.27449074299966)",DIA,DIA1_1, ,5,RACE,BLK
2012,AR,Arkansas,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,30,30, , ,,,Race/Ethnicity,Hispanic, , , , ,"(34.74865012400045, -92.27449074299966)",DIA,DIA1_1, ,5,RACE,HIS
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,46.1,46.1, , ,41,51.2,Overall,Overall, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,OVERALL,OVR
2011,AZ,Arizona,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,1459,1459, , ,,,Gender,Female, , , , ,"(34.865970280000454, -111.76381127699972)",DIA,DIA1_1, ,4,GENDER,GENF
2011,AZ,Arizona,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,3386,3386, , ,,,Overall,Overall, , , , ,"(34.865970280000454, -111.76381127699972)",DIA,DIA1_1, ,4,OVERALL,OVR
2012,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,53.4,53.4, , ,45.8,61,Gender,Male, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENM
2011,AZ,Arizona,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,1927,1927, , ,,,Gender,Male, , , , ,"(34.865970280000454, -111.76381127699972)",DIA,DIA1_1, ,4,GENDER,GENM
2012,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,49.3,49.3, , ,41.7,56.8,Gender,Female, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENF
2012,AR,Arkansas,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,1949,1949, , ,,,Race/Ethnicity,"White, non-Hispanic", , , , ,"(34.74865012400045, -92.27449074299966)",DIA,DIA1_1, ,5,RACE,WHT
2012,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,51.4,51.4, , ,46.1,56.8,Overall,Overall, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,OVERALL,OVR
2013,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,59.2,59.2, , ,51.3,67.2,Gender,Male, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENM
2013,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,48.6,48.6, , ,41.1,56.2,Gender,Female, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENF
2013,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,54.2,54.2, , ,48.7,59.7,Overall,Overall, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,OVERALL,OVR
2014,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,51.3,51.3, , ,43.9,58.7,Gender,Male, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENM
2014,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,38.6,38.6, , ,31.9,45.4,Gender,Female, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENF
2014,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,45.3,45.3, , ,40.3,50.3,Overall,Overall, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,OVERALL,OVR
2010,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,81.9,81.9, , ,78.8,85,Race/Ethnicity,"White, non-Hispanic", , , , ,"(32.84057112200048, -86.63186076199969)",DIA,DIA1_1, ,1,RACE,WHT
2012,AR,Arkansas,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,448,448, , ,,,Race/Ethnicity,"Black, non-Hispanic", , , , ,"(34.74865012400045, -92.27449074299966)",DIA,DIA1_1, ,5,RACE,BLK
2010,ME,Maine,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,555,555, , ,,,Gender,Male, , , , ,"(45.254228894000505, -68.98503133599962)",DIA,DIA1_1, ,23,GENDER,GENM
2013,AR,Arkansas,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,26,26, , ,,,Race/Ethnicity,Hispanic, , , , ,"(34.74865012400045, -92.27449074299966)",DIA,DIA1_1, ,5,RACE,HIS
2010,ME,Maine,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,482,482, , ,,,Gender,Female, , , , ,"(45.254228894000505, -68.98503133599962)",DIA,DIA1_1, ,23,GENDER,GENF
2010,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,97.2,97.2, , ,91.8,102.6,Race/Ethnicity,"Black, non-Hispanic", , , , ,"(32.84057112200048, -86.63186076199969)",DIA,DIA1_1, ,1,RACE,BLK
2014,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,10.5,10.5, , ,6.5,16,Race/Ethnicity,Hispanic, , , , ,"(32.84057112200048, -86.63186076199969)",DIA,DIA1_1, ,1,RACE,HIS
2012,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,76.2,76.2, , ,72.7,79.7,Gender,Female, , , , ,"(32.84057112200048, -86.63186076199969)",DIA,DIA1_1, ,1,GENDER,GENF
2012,US,United States,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death, ,,Nmbr,Number,3624,3624, ,,,,Overall,Overall, , , , ,,DIA,DIA1_2, ,59,OVERALL,OVR
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic", , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,BLK
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,API
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,214,214, , ,,,Race/Ethnicity,"White, non-Hispanic", , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,WHT
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,34,34, , ,,,Race/Ethnicity,American Indian or Alaska Native, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,AIAN
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,157,157, , ,,,Gender,Male, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENM
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,117,117, , ,,,Gender,Female, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENF
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,274,274, , ,,,Overall,Overall, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,OVERALL,OVR
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,HIS
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic", , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,BLK
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,API
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,44.7,44.7, , ,38.7,50.7,Race/Ethnicity,"White, non-Hispanic", , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,WHT
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,29.5,29.5, , ,20.4,41.2,Race/Ethnicity,American Indian or Alaska Native, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,AIAN
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,44.9,44.9, , ,37.9,51.9,Gender,Male, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENM
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,36.4,36.4, , ,29.8,43,Gender,Female, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENF
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,40.8,40.8, , ,36,45.7,Overall,Overall, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,OVERALL,OVR
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,HIS
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic", , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,BLK
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,API
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,64.7,64.7, , ,55.4,73.9,Race/Ethnicity,"White, non-Hispanic", , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,WHT
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,58.5,58.5, , ,39.4,83.4,Race/Ethnicity,American Indian or Alaska Native, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,AIAN
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,77.3,77.3, , ,63.7,90.9,Gender,Male, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENM
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,51.9,51.9, , ,42.1,61.7,Gender,Female, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENF
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,63.8,63.8, , ,55.8,71.9,Overall,Overall, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,OVERALL,OVR
2010,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,HIS
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic", , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,BLK
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,26,26, , ,,,Race/Ethnicity,Asian or Pacific Islander, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,API
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,221,221, , ,,,Race/Ethnicity,"White, non-Hispanic", , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,WHT
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,52,52, , ,,,Race/Ethnicity,American Indian or Alaska Native, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,AIAN
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,178,178, , ,,,Gender,Male, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENM
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,136,136, , ,,,Gender,Female, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENF
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,314,314, , ,,,Overall,Overall, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,OVERALL,OVR
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,HIS
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic", , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,BLK
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,51.1,51.1, , ,33.4,74.9,Race/Ethnicity,Asian or Pacific Islander, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,API
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,45.7,45.7, , ,39.7,51.8,Race/Ethnicity,"White, non-Hispanic", , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,WHT
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,44.7,44.7, , ,33.3,58.6,Race/Ethnicity,American Indian or Alaska Native, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,AIAN
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,50.4,50.4, , ,43,57.8,Gender,Male, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENM
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,41.6,41.6, , ,34.6,48.5,Gender,Female, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENF
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,HIS
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate, ,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic", , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,BLK
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,85.1,85.1, , ,52.7,130.1,Race/Ethnicity,Asian or Pacific Islander, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,API
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,60.1,60.1, , ,51.6,68.6,Race/Ethnicity,"White, non-Hispanic", , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,WHT
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,83.6,83.6, , ,61.4,111.2,Race/Ethnicity,American Indian or Alaska Native, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,RACE,AIAN
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,75.9,75.9, , ,63.3,88.5,Gender,Male, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENM
2011,AK,Alaska,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,57.7,57.7, , ,47.6,67.7,Gender,Female, , , , ,"(64.84507995700051, -147.72205903599973)",DIA,DIA1_1, ,2,GENDER,GENF
